id_bien;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Type local;code_dep_com
1;347;;RUE;DU CHATEAU;3;48.22;48;Appartement;01103
2;4;;BD;EDOUARD BAUDOIN;1;39.11;40;Appartement;06004
3;20;B;RUE;MARCEAU;3;80.25;82;Appartement;06088
4;550;;RTE;DES VESPINS RN7;1;27.51;27;Appartement;06123
5;9300;;RES;LES ARPEGES BD DES ABA;2;47.33;47;Appartement;13005
6;27;;RUE;DU GRAND MADIER;1;25.31;24;Appartement;13028
7;360;;AV;DU PRADO;3;70.84;70;Appartement;13208
8;5076;F;PARC;DESSUARD;3;67.19;66;Appartement;13212
9;1194;;RUE;DE NORMANDIE;1;18.89;19;Appartement;14338
10;30;;ALL;DES NOISETIERS;4;105.37;99;Maison;14366
11;11;;RUE;ROUGET DE L ISLE;2;31.99;34;Appartement;17300
12;13;;RUE;BERTHE MORISOT;5;96.21;100;Maison;25056
13;1;;RUE;DU POHER;1;30.86;31;Appartement;29232
14;2;;RUE;DES JARDINS;3;66.21;67;Appartement;29260
15;5;;AV;DU COMMANDANT TAILLANDIER;2;45.58;46;Appartement;31555
16;15;;RUE;PAUL DENUCE;1;23.2;27;Appartement;33063
17;176;;RUE;SAINTE CATHERINE;1;13.1;12;Appartement;33063
18;822;G;;LA BAYNASSE SUD;2;29.0;29;Appartement;33097
19;9;;RUE;DE BELFORT;2;51.4;51;Appartement;33449
20;183;;RUE;MARC ANTOINE MENARD;1;16.79;18;Appartement;34145
21;50;;AV;ANDRE CHASSEFIERE;2;51.4;51;Appartement;34150
22;8;;PL;DES ETATS DU LANGUEDOC;3;68.22;85;Appartement;34199
23;7;;RUE;JEAN-JACQUES ROUSSEAU;4;88.45;89;Maison;37156
24;197;;AV;DE GRAMMONT;2;42.94;46;Appartement;37261
25;48;;BD;MAL FOCH;4;76.48;77;Appartement;38185
26;210;;RTE;DU TAILLEUR;3;48.23;53;Maison;40266
27;199;;RES;MER ET GOLF-LE BOUCANIER;2;49.91;48;Appartement;40328
28;3;;ALL;JEAN PERRIN;2;46.3;45;Appartement;44143
29;12;;RUE;FERDINAND BUISSON;2;47.24;48;Appartement;44184
30;35;;AV;DE CHAMPAGNE;4;81.09;79;Appartement;51230
31;26;;RUE;MESSIER;2;39.69;39;Appartement;54395
32;5794;;;GOLF SAINT LAURENT;3;43.85;44;Appartement;56161
33;5;;RUE;DE PRUNEVEAUX;4;108.78;124;Appartement;58194
34;118;;BD;DU GENERAL DE GAULLE;3;89.84;71;Appartement;59512
35;247;;RUE;DE NOTRE DAME DU THIL;2;48.35;48;Appartement;60057
36;34;;RUE;DE LA VILLE;1;19.11;18;Appartement;60155
37;15;;SQ;JEAN BAPTISTE CLEMENT;5;97.39;97;Appartement;60159
38;84;;AV;JEAN JAURES;1;31.73;32;Appartement;60524
39;54;;RUE;DE LA BUSSIERE;2;49.89;51;Appartement;69149
40;15;;RUE;ARTAUD;1;20.02;20;Appartement;69384
41;1;;AV;D ABONDANCE;2;34.86;33;Appartement;74119
42;950;;AV;DU MONT D ARBOIS;2;39.05;39;Appartement;74236
43;110;;RTE;DE LA TELECABINE;1;18.93;20;Appartement;74238
44;2308;;AV;DES VALLEES;4;88.59;88;Appartement;74278
45;22;;BD;SAINT MARCEL;2;30.05;41;Appartement;75105
46;45;;BD;DE MAGENTA;2;32.3;32;Appartement;75110
47;14;;AV;DE LA REPUBLIQUE;4;120.28;120;Appartement;75111
48;160;;RUE;SAINT MAUR;2;17.94;28;Appartement;75111
49;11;;RUE;DU MOULIN JOLY;2;28.39;28;Appartement;75111
50;36;;RUE;ERARD;2;18.0;41;Appartement;75112
51;220;;RUE;DE CHARENTON;3;51.44;51;Appartement;75112
52;17;;RUE;D AUSTERLITZ;1;10.06;10;Appartement;75112
53;60;A;RUE;EMERIAU;4;88.3;88;Appartement;75115
54;4;;RUE;SQUARE CARPEAUX;1;23.98;18;Appartement;75118
55;36;;AV;DE CLICHY;2;53.59;39;Appartement;75118
56;68;;RUE;MARCADET;2;24.3;25;Appartement;75118
57;16;;AV;ALEXANDRE ANQUETIN;4;61.52;59;Appartement;76217
58;5;;PARC;DE LA BRESLE;3;57.27;58;Appartement;76451
59;4;;RUE;FRANCOIS LAPERT;1;23.98;25;Appartement;76655
60;5;B;RUE;DE LA SOLIDARITE;2;35.32;40;Appartement;77118
61;4;;ALL;HELENE LAZAREFF;4;89.41;89;Appartement;78350
62;1;;AV;DE DENTON;5;106.19;107;Appartement;78423
63;15;;RUE;ROBERT DESNOS;4;67.76;70;Appartement;78545
64;1;;RUE;MAL DE LATTRE DE TASSIGNY;2;40.55;40;Appartement;78545
65;53;;RUE;DE MAREIL;5;84.31;142;Appartement;78551
66;1;;RUE;MAETERLINCK;3;74.0;74;Appartement;78586
67;2;;RUE;DIVISION LECLERC;2;49.16;48;Appartement;78640
68;0;;;LES SAVELS;2;50.74;50;Appartement;83062
69;31;;AV;DE LA SABLIERE CAPTE;1;20.15;20;Appartement;83069
70;9100;;RES;LE GRAND SOLEIL;2;47.52;38;Appartement;83112
71;8;;ALL;DES PAQUERETTES;5;86.92;91;Maison;83123
72;43;;RUE;CAMPANE;2;37.24;40;Appartement;84007
73;78;;RUE;CARNOT;2;43.12;45;Appartement;85047
74;20;B;ALL;DU HAUT POITOU;1;30.42;30;Appartement;86062
75;9007;;RUE;DES DOUVES;4;71.03;75;Appartement;86194
76;14;;RUE;DU CLUZEAU;2;62.95;62;Appartement;87075
77;8;;RUE;GEORGES BELJEAN;2;43.54;43;Appartement;87085
78;2;;RUE;D ADELAIAU;5;128.34;128;Appartement;91249
79;6;;RUE;DE LA DIVISION LECLERC;2;43.42;43;Appartement;91689
80;79;;RUE;DE VARSOVIE;3;49.45;55;Appartement;92025
81;5;;BD;GEORGES CLEMENCEAU;3;62.1;65;Appartement;92026
82;32;;RUE;GEORGES THORETTON;3;59.35;59;Appartement;92036
83;74;;RUE;JULES GUESDE;2;52.85;55;Appartement;92044
84;35;;AV;SAINTE FOY;4;106.31;90;Maison;93032
85;4;;ALL;JOSEPHINE;4;77.93;77;Appartement;93051
86;129;;ALL;JULES AUFFRET;2;46.0;46;Appartement;93057
87;1;;PL;GASTON BUSSIERE;2;24.63;24;Appartement;93071
88;21;;RUE;CLAUDE BERNARD;3;67.1;67;Appartement;94044
89;18;;RUE;DE PROVENCE;4;80.0;66;Maison;94060
90;4;;RUE;DU CLOS SAINT NICOLAS;2;48.02;49;Appartement;94060
91;7;;RUE;DE L EGALITE;1;16.37;17;Appartement;94080
92;16;;RUE;DE LA FOSSE AUX BICHES;4;72.53;69;Appartement;95252
93;57;;ALL;DU VEXIN;5;90.07;93;Maison;95388
94;9004;;RES;LES LIGNIERES;3;57.1;56;Appartement;95607
95;9;;RUE;NEUVE;1;41.82;47;Appartement;01262
96;27;;RUE;FERNAND THUILLART;6;165.11;156;Appartement;02408
97;2;;RUE;DENAIN;3;124.01;77;Appartement;03190
98;7052;;RES;LES CHENEVRIERS;1;24.32;25;Appartement;04073
99;7102;;PL;DE L ENGIEN;4;106.43;133;Appartement;04166
100;9002;;PL;DU DOCTEUR ROBERT;1;32.89;33;Appartement;04209
101;15;;AV;NIQUET;2;37.66;41;Appartement;06004
102;7;;CHE;DE SAINT LAURENT;3;58.42;58;Appartement;06027
103;8;;RUE;ROSSINI;4;99.04;98;Appartement;06088
104;27;;RUE;LAMARTINE;3;30.2;95;Appartement;06088
105;4;;AV;VALROSE;3;68.75;68;Appartement;06088
106;15;B;AV;VICTOR CAUVIN;2;56.05;58;Appartement;06159
107;5;;IMP;DU CHANT DE L ALOUETTE;3;55.5;52;Appartement;10323
108;5279;F;RUE;DU 14 JUILLET;3;53.09;51;Appartement;13119
109;55;;RUE;FRANCIS DAVSO;2;48.24;50;Appartement;13201
110;9;;RUE;BOSCARY;1;28.4;30;Appartement;13204
111;9;;RUE;CRUDERE;3;51.01;51;Appartement;13206
112;13;;BD;GUSTAVE GANAY;3;51.54;52;Appartement;13209
113;4;;RUE;AUX NAMPS;2;34.83;59;Appartement;14118
114;1;;RUE;PESTEL;1;12.44;13;Appartement;14333
115;1;;AV;P CASSAGNAVERE;2;53.76;53;Appartement;14715
116;1;;RUE;CHARLES KOECHLIN;2;52.82;32;Maison;14754
117;66;;AV;DENFERT ROCHEREAU;1;32.18;33;Appartement;17300
118;6;;RUE;DES MENDRIES;3;49.9;50;Maison;17414
119;5;;RES;DE LA HAUTE RIVE;4;68.3;67;Appartement;22113
120;33;;RUE;ANATOLE LE BRAZ;2;54.42;57;Appartement;22168
121;16;H;BD;DE L ATLANTIQUE;4;64.0;64;Appartement;22278
122;19;;AV;DAUMESNIL;1;31.05;33;Appartement;24322
123;850;;CHE;DES GOUILLOTTES;5;127.96;147;Appartement;25527
124;34;B;RUE;DU FAUBOURG ST JEAN;5;106.03;105;Maison;28085
125;22;;RUE;THEAULON;2;32.29;50;Appartement;30003
126;145;;QUAI;DE BILINA;2;39.5;39;Appartement;30007
127;80;;RUE;DES ANEMONES;1;20.0;19;Appartement;30133
128;4;B;RUE;ARNAVIELLE;3;60.07;60;Appartement;30189
129;3;;RUE;DAUMESNIL;2;54.0;57;Appartement;32013
130;230;;BD;DE LA REPUBLIQUE;2;44.12;44;Appartement;33005
131;52;;RUE;DU TONDU;4;61.16;60;Appartement;33063
132;17;;RUE;DES HIRONDELLES;4;86.3;86;Maison;33075
133;17;;RUE;LAURENT FIGNON;2;39.23;45;Appartement;33550
134;7;;AV;PASTEUR;1;24.6;24;Appartement;34023
135;5;;RUE;HENRI HERTZ;2;42.2;42;Appartement;37261
136;4;;ALL;DES ERABLES;3;63.1;70;Appartement;37261
137;6;;RUE;DOYEN GOSSE;1;21.0;20;Appartement;38169
138;4;;PL;BIR HAKEIM;3;95.74;95;Appartement;38185
139;13;;AV;DE LA MUZELLE MT DE LANS;3;60.55;62;Appartement;38253
140;176;;AV;GABRIELE  D ANNUNZIO;1;29.78;25;Maison;40046
141;49;;AV;VICTOR HUGO;1;18.63;19;Appartement;40088
142;112;;AV;DU MARENSIN;3;82.35;47;Maison;40304
143;2;;CHE;DES GREFFIERS;4;94.39;93;Maison;42256
144;52;;BD;DE L EGALITE;3;62.14;64;Appartement;44109
145;18;;RUE;BONNE GARDE;2;47.34;47;Appartement;44190
146;1;;RUE;PAUL VERLAINE;2;42.25;42;Appartement;44204
147;239;;FG;SAINT VINCENT;3;65.71;65;Appartement;45234
148;13;;ALL;DES ERABLES;1;72.37;69;Appartement;45286
149;74;;RTE;DE COUTANCES;2;57.88;47;Appartement;50002
150;7;;IMP;DES CARMELITES;4;119.95;121;Appartement;51454
151;21;;RUE;DES SOEURS MACARONS;2;36.6;38;Appartement;54395
152;2;;RES;DE PORH MEN GUEN;3;97.51;105;Appartement;56062
153;19;;AV;SIMONE;3;80.09;80;Appartement;59368
154;42;Q;RUE;JEAN JAURES;2;29.73;30;Maison;59378
155;468;;RUE;HENRI DURRE;5;153.25;139;Maison;59491
156;2;;RUE;AMPERE;1;41.0;37;Appartement;60159
157;59;C;RUE;DU GENERAL MANGIN;8;220.72;210;Maison;60159
158;35;;IMP;JEAN DE LA FONTAINE;2;30.38;30;Appartement;60382
159;1;;AV;JACQUES CARTIER;4;72.91;74;Appartement;60395
160;34;B;AV;DE LA GARE;3;67.47;68;Appartement;60524
161;76;;PL;GRAND PLACE;2;45.5;45;Appartement;62041
162;31;;RUE;HIPPOLYTE GOMOT;2;62.72;47;Appartement;63300
163;6;;AV;DE LA GARE;4;108.84;109;Appartement;69003
164;78;B;RUE;DES COLLONGES;2;43.25;43;Appartement;69204
165;496;;RUE;ETIENNE POULET;3;78.72;71;Appartement;69264
166;72;;RUE;SAINT PIERRE DE VAISE;1;32.82;38;Appartement;69389
167;2;;PL;DE LA RHODIACETA;3;75.31;75;Appartement;69389
168;24;;RUE;DE LA BANQUE;4;75.87;76;Appartement;70550
169;22;;RUE;D ALSACE LORRAINE;4;168.38;106;Appartement;70550
170;13;;RTE;DES MOULINS;1;21.29;21;Appartement;74014
171;110;;RTE;DE LA SAUGE;3;76.14;76;Appartement;74249
172;192;;RUE;SAINT DENIS;3;36.91;37;Appartement;75102
173;24;;RUE;DE SAINTONGE;1;66.0;12;Appartement;75103
174;8;;RUE;SAINT PAUL;2;25.34;25;Appartement;75104
175;30;;RUE;DES BOULANGERS;1;21.34;20;Appartement;75105
176;36;;RUE;DE BUCI;1;28.55;28;Appartement;75106
177;7;;RUE;COGNACQ JAY;3;82.62;83;Appartement;75107
178;38;;AV;CLAUDE VELLEFAUX;2;30.18;31;Appartement;75110
179;7;;RUE;PLICHON;3;58.45;56;Appartement;75111
180;33;;AV;PHILIPPE AUGUSTE;2;31.12;30;Appartement;75111
181;38;B;RUE;TRAVERSIERE;2;44.95;50;Appartement;75112
182;31;;RUE;DE L ABBE CARTON;1;25.06;26;Appartement;75114
183;8;;RUE;MARMONTEL;2;37.38;37;Appartement;75115
184;22;A;RUE;EMERIAU;6;99.96;97;Appartement;75115
185;62;;RUE;LEGENDRE;3;63.16;75;Appartement;75117
186;68;;RUE;MSTISLAV ROSTROPOVITCH;2;47.12;47;Appartement;75117
187;76;;RUE;LEPIC;3;53.01;50;Appartement;75118
188;21;B;RUE;DUHESME;3;52.46;51;Appartement;75118
189;124;;RUE;DAMREMONT;2;52.24;50;Appartement;75118
190;89;;RUE;DES POISSONNIERS;2;29.13;30;Appartement;75118
191;28;;RUE;DE TORCY;3;67.8;68;Appartement;75118
192;9;;RUE;HENRI CHEVREAU;1;21.01;25;Appartement;75120
193;4;;RUE;MICHEL DUBOSC;1;19.9;20;Appartement;76351
194;3;;RUE;HENRY LEMONNIER;1;45.84;30;Appartement;76447
195;10;;RUE;ROBERT DE THORIGNY;2;39.3;39;Appartement;76451
196;19;B;RUE;DU GENERAL DE GAULLE;2;32.99;29;Appartement;77005
197;56;;RUE;REMY DUMONCEL;1;24.06;25;Appartement;77014
198;4;;RUE;KONRAD ADENAUER;2;53.6;53;Appartement;77058
199;17;;AV;DU GENERAL DE GAULLE;1;31.42;31;Appartement;77058
200;13;Q;RUE;DE CHAMPAGNE;5;111.15;102;Maison;77059
201;2;E;SQ;DU PETIT MARGAT;3;60.25;60;Appartement;77192
202;2;C;CHE;DU GAZON;4;75.06;76;Maison;77259
203;17;;RUE;LOUVIOT;2;33.49;33;Appartement;77288
204;15;;RUE;DE VAUX;2;44.94;45;Appartement;77288
205;2;B;RUE;DU TEMPLE;3;66.54;76;Appartement;77379
206;113;;AV;DE POISSY;2;42.2;42;Appartement;78005
207;8;;SQ;DES AUBADES;4;67.6;66;Appartement;78372
208;9;;RES;DE LA SABOTTE;3;53.05;55;Appartement;78372
209;1;;SQ;DU JURANCON;1;27.81;28;Appartement;78383
210;3;;RUE;LOUIS PASTEUR;6;101.85;107;Maison;78550
211;9003;;CITE;LA GARENNE A BREFAUT;3;55.06;51;Appartement;78621
212;16;;RUE;DE L OCCIDENT;4;80.38;82;Appartement;78646
213;29;;RUE;DES LILAS;3;71.05;71;Maison;82096
214;71;;CHE;DE L ESCOURCHE;2;37.6;51;Appartement;83009
215;271;;BD;DES GRAVIERS;1;15.2;15;Appartement;83009
216;9500;;RES;LE ST VINCENT;2;29.85;30;Appartement;83034
217;1;;AV;PIERRE DE COUBERTIN;3;64.84;64;Appartement;83070
218;9733;;RES;LES TROIS TOURS 2;2;37.82;37;Appartement;85035
219;5;;AV;DU LITTORAL;3;64.41;64;Appartement;85127
220;3;;RUE;FIEF DES COUTS;3;63.63;64;Appartement;85194
221;46;;RUE;DU BAS RUET;4;88.5;88;Maison;85262
222;38;;RUE;JULES FERRY;3;81.24;82;Appartement;88372
223;1;;RUE;DE COLMAR;2;42.25;44;Appartement;90010
224;24;;RUE;DE CRONSTADT;3;56.0;56;Appartement;90010
225;43;;RUE;DES 3 CHENES;4;69.17;63;Appartement;91114
226;10;;RES;LES BOIS DU CERF;6;146.94;168;Maison;91225
227;5;;RUE;MONTTESSUY;3;49.0;49;Appartement;91326
228;4;;ALL;D'AUTRICHE;5;93.02;96;Appartement;91377
229;50;B;RTE;D ORLEANS RN 20;2;40.0;44;Appartement;91425
230;10;;ALL;DES ERABLES;5;115.97;118;Maison;91570
231;239;;AV;ROBERT LEUTHREAU;2;90.0;45;Maison;91589
232;4;;RUE;BERNARD JUGAULT;4;67.23;66;Appartement;92004
233;26;;RUE;DES BOURGUIGNONS;3;40.69;40;Appartement;92004
234;12;;RUE;DU R P CH GILBERT;2;54.2;54;Appartement;92004
235;1;;RUE;CLAUDE MIVIERE;3;52.47;52;Appartement;92009
236;6;;IMP;BELLEVUE;1;65.62;56;Appartement;92012
237;197;;RUE;GALLIENI;4;87.15;88;Appartement;92012
238;19;;ALL;ROBERT DOISNEAU;1;23.8;23;Appartement;92012
239;11;;RUE;SAINT DENIS;2;31.2;29;Appartement;92012
240;11;;RUE;FESSART;4;78.02;119;Appartement;92012
241;36;;RUE;PAUL HENRY THILLOY;1;76.85;77;Appartement;92014
242;1162;;AV;ROGER SALENGRO;3;59.73;50;Appartement;92022
243;85;;AV;HENRI BARBUSSE;3;40.8;74;Appartement;92023
244;273;;RUE;SAINT DENIS;3;61.06;62;Appartement;92025
245;9;;RUE;PAUL BERT;2;38.05;35;Appartement;92025
246;21;;RUE;VICTOR HUGO;2;32.02;32;Appartement;92025
247;7;;RUE;DE LA SABLIERE;4;94.32;92;Appartement;92026
248;1;;SQ;DES COLONNES;3;61.97;63;Appartement;92048
249;6;;RUE;DE L'OUEST;3;61.93;61;Appartement;92050
250;7;;RUE;DU GUE;1;25.16;25;Appartement;92063
251;11;;RUE;DE LA BENARDE;2;46.75;46;Appartement;92063
252;12;;SQ;RONSARD;2;48.5;47;Appartement;92063
253;7;;RUE;LOUIS BLANC;2;44.17;43;Appartement;92075
254;55;;RUE;DU MOUTIER;2;35.0;35;Appartement;93001
255;77;;RUE;SADI CARNOT;2;30.45;30;Appartement;93006
256;4;;RUE;ARTHUR RIMBAUD;3;70.56;71;Appartement;93010
257;24;;RUE;KLEBER;6;102.46;147;Appartement;93048
258;68;;RUE;DU COLONEL FABIEN;1;21.13;21;Appartement;94016
259;18;;RUE;PAUL CARLE;2;41.57;42;Appartement;94022
260;15;;RUE;DE TRUCY;1;29.07;15;Appartement;94033
261;3;;ALL;MULATRESSE SOLITUDE;3;68.02;67;Appartement;94041
262;4;;RUE;HALIFAX;3;73.81;76;Appartement;94042
263;6;;RUE;ANQUETIL;2;50.08;50;Appartement;94052
264;83;;AV;DU BAC;3;61.93;62;Appartement;94068
265;16;;RUE;DU MOUTIER;2;34.2;34;Appartement;94071
266;1;;RUE;PIERRE ET MARIE CURIE;2;39.39;39;Appartement;94076
267;7;;ALL;DE DERRIERE LES JARDINS;4;84.23;82;Appartement;94079
268;74;;RUE;DE LA JARRY;3;50.6;50;Appartement;94080
269;27;;AV;PAUL DEROULEDE;1;25.14;20;Appartement;94080
270;4;;RUE;DE LA BRIQUETERIE;3;64.0;63;Appartement;95203
271;1;;RUE;DES CAPUCINES;2;45.04;46;Appartement;95218
272;1;;RUE;DU PAPIER COUCHE;3;56.86;57;Appartement;95218
273;20;;RUE;DES MARECHAUX;4;77.71;77;Appartement;95500
274;76;;RUE;GEORGE SAND;3;61.05;61;Appartement;95572
275;9003;;PL;DE L HORLOGE;4;105.71;119;Appartement;04209
276;17;;RUE;DE VERDUN;2;30.09;30;Appartement;14079
277;6412;;CHE;DE BOIS LURETTE;2;30.38;30;Appartement;14754
278;10;;RUE;FERRI III;2;47.04;46;Appartement;54395
279;29;;RTE;DE CUSIN;3;63.14;62;Appartement;74256
280;5;;RUE;DU ROCHER;2;45.61;49;Appartement;77014
281;12;;RUE;MARTIN BLEU DIEU;1;34.99;35;Appartement;80021
282;7;;AV;DU DOCTEUR ROUANET;4;67.19;67;Appartement;82112
283;9;;RUE;DE LA JUIVERIE;1;31.49;36;Appartement;91223
284;1;;RUE;DE GEX;3;82.59;75;Appartement;01160
285;140;;RUE;DE L'ABBE JOLIVET;5;109.22;109;Maison;01288
286;1;;RUE;DES MONGES;4;144.6;120;Appartement;04070
287;3;;RUE;NOTRE-DAME;2;31.21;32;Appartement;06029
288;56;;AV;DU TROIS SEPTEMBRE;1;24.58;24;Appartement;06032
289;114;;AV;GASTON DE FONTMICHEL;2;36.6;36;Appartement;06079
290;55;;AV;DE SOSPEL;1;29.0;29;Appartement;06083
291;649;;PROM;DU SOLEIL;2;54.34;57;Appartement;06083
292;17;;RUE;GOUNOD;2;32.83;33;Appartement;06088
293;4;;BD;CIMIEZ;4;133.44;144;Appartement;06088
294;0;;;LES FEUILLATES;3;63.58;63;Appartement;10325
295;17;D;RUE;DE LA COOPERATIVE;3;50.75;50;Appartement;10343
296;146;;AV;GEN GALLIENI;2;47.88;48;Appartement;10362
297;2;;RUE;NVE DE LA REPUBLIQUE;3;68.03;66;Appartement;10362
298;1;;RES;GRUISSAN PORT;3;23.89;25;Appartement;11170
299;156;;PL;DE LA BONANCE;2;22.15;28;Appartement;11170
300;2;;RUE;DE LA BIBLIOTHEQUE;5;82.72;84;Appartement;13005
301;26;;RUE;DOCT SEVERIN ICARD;3;36.8;37;Appartement;13022
302;3;;RUE;ANTOINE PIRRODI;1;29.29;30;Appartement;13028
303;432;;BD;DE LAVAUX;4;115.53;114;Appartement;13028
304;200;;CHEM;DU COULET;3;92.99;61;Maison;13101
305;294;;BD;CHAVE;3;64.45;63;Appartement;13205
306;62;;BD;BOMPARD;3;24.89;40;Appartement;13207
307;2;;RUE;CAPITAINE DESSEMOND;1;22.71;22;Appartement;13207
308;27;;RUE;ROCCA;4;85.37;86;Appartement;13208
309;1;;RES;LE LANCIER;1;31.28;32;Appartement;13209
310;68;;BD;MIREILLE LAUZE;5;112.09;111;Appartement;13210
311;6;;AV;ROGER DELIENCOURT;2;41.78;43;Appartement;14220
312;4;;AV;DE LA REPUBLIQUE;2;47.05;46;Appartement;14754
313;15;;RUE;JEAN JACQUES ROUSSEAU;3;77.87;78;Appartement;18033
314;5;;RUE;D ESPAGNAC;3;70.19;71;Appartement;19031
315;8;;PL;DU GUESCLIN;4;168.7;123;Appartement;22278
316;6113;;;SUVERA TORTA;2;32.16;32;Maison;2A362
317;5495;;CHE;NEUF;4;82.11;84;Maison;30106
318;163;;RUE;DE BRUNSWICK;1;36.29;40;Appartement;30189
319;74;;IMP;DES LUPINS;3;65.24;65;Appartement;30189
320;4;;RUE;DEMOISELLES DE GASCOGNE;2;36.46;38;Appartement;31203
321;10;;BD;PIERRE CURIE;3;60.16;65;Appartement;31555
322;7;;RUE;ARISTIDE DE SOUSA-MENDES;3;56.67;59;Appartement;33039
323;422;;RTE;DE TOULOUSE;2;50.16;50;Appartement;33039
324;51;;RUE;DE PESSAC;1;26.39;26;Appartement;33063
325;12;;RUE;ANDRE LEROUX;2;35.8;35;Appartement;33514
326;16;;AV;VIEILLE TOUR;1;20.15;19;Appartement;33522
327;6;B;RTE;DE LA GARONNE;2;62.55;65;Appartement;33533
328;24;;ALL;DE LA FLANERIE;1;23.7;23;Appartement;34003
329;94;;RUE;FRANCOISE GIROUD;2;44.14;43;Appartement;34079
330;8;;AV;GAL DE GAULLE;3;59.19;72;Appartement;34157
331;0;;RES;PORT VAUBAN;3;62.66;71;Appartement;34301
332;2;B;AV;CHARLES LE GOFFIC;3;56.15;61;Appartement;35210
333;2;;RUE;DUGUESCLIN;1;16.54;17;Appartement;35238
334;7;;RUE;JEAN LURCAT;3;65.52;66;Appartement;37261
335;42;;CRS;JEAN JAURES;2;31.0;31;Appartement;38185
336;3;;AV;DE VALMY;3;61.23;62;Appartement;38185
337;10;;RUE;ELISEE CHATIN;3;76.75;73;Appartement;38185
338;5519;;RES;LES TERRASSES DE L ALPE I;1;16.3;17;Appartement;38191
339;1;;RUE;FRANZ LISZT;4;60.73;61;Appartement;38421
340;2;;RUE;SIMONE DE BEAUVOIR;4;81.25;81;Appartement;38421
341;7;;PL;DE LA VICTOIRE;5;97.41;101;Maison;39526
342;11;;RUE;DES SERRES;4;85.32;78;Appartement;40088
343;220;;CHE;DE LAREIGNE;2;45.94;46;Appartement;40281
344;9;T;AV;DE LA GARE;3;53.22;50;Maison;40284
345;1;;ALL;HELENE ET JACQUES SOLOMON;3;65.26;65;Appartement;40312
346;3;;PL;ALEXANDRE VIRO;4;91.43;90;Appartement;40312
347;80;;RTE;DE L ETANG;4;74.39;74;Maison;40317
348;33;;RUE;DU TREYVE;3;90.2;66;Appartement;42005
349;85;B;RUE;JOANNY AUGE;3;76.75;77;Appartement;42187
350;12;;RUE;BERCHOUX;2;41.31;42;Appartement;42187
351;10;;RUE;DES ECOLIERS;2;61.37;59;Appartement;42187
352;115;;RUE;DU MOULIN A VENT PROLONGE;4;75.95;70;Appartement;42332
353;33;;RUE;ST GILLES;2;36.98;50;Appartement;43157
354;29;;RUE;CHARLES NUNGESSER;3;51.77;51;Maison;44035
355;2;;IMP;DE L HOTEL DIEU;1;62.88;50;Maison;44109
356;44;;BD;OCEANIDES;2;67.98;68;Appartement;44132
357;5;;RUE;LOUISE MICHEL;2;53.25;52;Appartement;44198
358;28;;RUE;GUSTAVE EIFFEL;3;60.7;60;Appartement;45075
359;481;;AV;DU LOIRET;4;70.03;68;Appartement;45232
360;13;;RUE;DE GAUCOURT;2;44.39;45;Appartement;45234
361;28;;RUE;DE LA HAUTE CROIX;1;26.25;26;Appartement;45284
362;63;;RUE;DU PRE PIGEON;3;71.08;75;Appartement;49007
363;99;;RUE;DE LA MADELEINE;1;21.62;20;Appartement;49007
364;1;;;LE CARRE DES TOILES;2;39.78;40;Appartement;49099
365;72;;RUE;SAINT PIERRE;2;59.19;59;Appartement;50147
366;2;;RUE;DES AUGUSTINS;1;31.79;30;Appartement;51108
367;1;;PL;CARNOT;2;43.85;44;Appartement;51230
368;17;;RUE;DU BOUCAU;3;58.53;56;Appartement;54263
369;3;;IMP;DU RAIL;2;38.01;38;Appartement;56023
370;324;;RUE;DE LA REPUBLIQUE;2;43.84;44;Appartement;60342
371;2;B;RUE;DES CLIGNETTES;4;64.45;80;Appartement;60513
372;1;;RUE;SAINT EXUPERY;4;87.68;82;Maison;62893
373;2;;ALL;DE LA GRAVIERE;2;54.68;54;Appartement;64102
374;9;B;CHE;DU LOUP;3;60.77;61;Appartement;69089
375;18;B;RUE;DU PERRON;4;104.11;102;Maison;69176
376;437;;RUE;DE THIZY;3;56.02;57;Appartement;69264
377;14;;RUE;IMBERT COLOMES;3;28.17;54;Appartement;69381
378;6;;RUE;ROUX SOIGNAT;1;49.13;52;Appartement;69383
379;49;;RUE;EUGENE PONS;2;51.01;52;Appartement;69384
380;15;;PL;EDOUARD DE LA BOUSSINIERE;1;20.92;21;Appartement;72181
381;5669;H;;IMM ARCELLE 1;2;30.84;27;Appartement;73257
382;448;;AV;DU MONT PACCARD;2;16.7;25;Appartement;74236
383;116;;RUE;DE L AUTOMNE;2;47.17;47;Appartement;74311
384;7;;RUE;NOTRE DAME DE NAZARETH;2;27.37;26;Appartement;75103
385;67;;RUE;DE BRETAGNE;1;26.43;11;Appartement;75103
386;22;;RUE;DU TEMPLE;2;34.6;27;Appartement;75104
387;9;;RUE;LARREY;1;27.01;26;Appartement;75105
388;1;;RUE;HUYSMANS;1;29.5;29;Appartement;75106
389;62;;RUE;SAINT PLACIDE;5;110.09;109;Appartement;75106
390;66;;RUE;DE RENNES;5;165.15;163;Appartement;75106
391;45;;RUE;BONAPARTE;3;78.83;79;Appartement;75106
392;27;;RUE;DES SAINTS PERES;2;48.96;52;Appartement;75106
393;139;;RUE;DU FBG SAINT DENIS;2;36.47;29;Appartement;75110
